场景标签,成本档位,滑点BP,佣金费率,印花税率,最小手数,是否T1,K线周期,数据源,初始资金,优先级,最大重试,是否启用
基准场景,cost_base,5,0.0003,0.001,100,1,1d,default,1000000,1,1,1
基准低频场景,cost_base,5,0.0003,0.001,100,1,5min,default,1000000,2,1,1
成本压力场景,cost_x2,5,0.0006,0.001,100,1,1d,default,1000000,2,2,1
滑点压力场景,cost_base,12,0.0003,0.001,100,1,1d,default,1000000,2,2,1
双压力场景,cost_x3,12,0.0008,0.001,100,1,5min,default,1000000,3,2,1
低资金场景,cost_base,5,0.0003,0.001,100,1,1d,default,300000,2,1,1
高资金场景,cost_base,5,0.0003,0.001,100,1,1d,default,3000000,1,1,1
低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,5min,default,300000,3,2,1
低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,5min,default,3000000,2,2,1
